Te,ne,intrinsic_ratio,observed_ratio,ratio_sigma,ratio_observed_minus_intrinsic,required_Av,A_Pa_beta,A_Pa_gamma,predicted_ratio,ratio_residual,ratio_residual_sigma,solution_class,required_Av_minus_1sigma,required_Av_plus_1sigma,required_Av_uncertainty
5.00000000e+03,1.00000000e+13,2.20702268e+00,3.35237800e+00,1.03204000e-01,1.14535532e+00,4.06638474e+00,1.46646846e+00,1.92033393e+00,3.35237800e+00,0.00000000e+00,0.00000000e+00,positive_Av,3.76221114e+00,4.36133477e+00,2.99561813e-01
5.00000000e+03,1.00000000e+14,2.38739377e+00,3.35237800e+00,1.03204000e-01,9.64984232e-01,3.30220506e+00,1.19088081e+00,1.55945313e+00,3.35237800e+00,0.00000000e+00,0.00000000e+00,positive_Av,2.99803146e+00,3.59715509e+00,2.99561813e-01
7.50000000e+03,1.00000000e+02,1.82737694e+00,3.35237800e+00,1.03204000e-01,1.52500106e+00,5.90259381e+00,2.12866421e+00,2.78747632e+00,3.35237800e+00,4.44089210e-16,4.30302323e-15,positive_Av,5.59842021e+00,6.19754384e+00,2.99561813e-01
7.50000000e+03,1.00000000e+03,1.82479784e+00,3.35237800e+00,1.03204000e-01,1.52758016e+00,5.91633269e+00,2.13361889e+00,2.79396445e+00,3.35237800e+00,4.44089210e-16,4.30302323e-15,positive_Av,5.61215910e+00,6.21128273e+00,2.99561813e-01
7.50000000e+03,1.00000000e+04,1.81952862e+00,3.35237800e+00,1.03204000e-01,1.53284938e+00,5.94446241e+00,2.14376337e+00,2.80724859e+00,3.35237800e+00,4.44089210e-16,4.30302323e-15,positive_Av,5.64028881e+00,6.23941244e+00,2.99561813e-01
7.50000000e+03,1.00000000e+05,1.81022880e+00,3.35237800e+00,1.03204000e-01,1.54214920e+00,5.99430876e+00,2.16173956e+00,2.83078834e+00,3.35237800e+00,4.44089210e-16,4.30302323e-15,positive_Av,5.69013517e+00,6.28925880e+00,2.99561813e-01
7.50000000e+03,1.00000000e+06,1.79488904e+00,3.35237800e+00,1.03204000e-01,1.55748896e+00,6.07709106e+00,2.19159350e+00,2.86988195e+00,3.35237800e+00,-8.88178420e-16,-8.60604647e-15,positive_Av,5.77291747e+00,6.37204109e+00,2.99561813e-01
7.50000000e+03,1.00000000e+07,1.76604278e+00,3.35237800e+00,1.03204000e-01,1.58633522e+00,6.23469641e+00,2.24843104e+00,2.94431044e+00,3.35237800e+00,-4.44089210e-16,-4.30302323e-15,positive_Av,5.93052282e+00,6.52964645e+00,2.99561813e-01
7.50000000e+03,1.00000000e+08,1.68571429e+00,3.35237800e+00,1.03204000e-01,1.66666371e+00,6.68753505e+00,2.41173914e+00,3.15816168e+00,3.35237800e+00,-4.44089210e-16,-4.30302323e-15,positive_Av,6.38336145e+00,6.98248508e+00,2.99561813e-01
7.50000000e+03,1.00000000e+09,1.62379055e+00,3.35237800e+00,1.03204000e-01,1.72858745e+00,7.05160132e+00,2.54303309e+00,3.33009052e+00,3.35237800e+00,4.44089210e-16,4.30302323e-15,positive_Av,6.74742772e+00,7.34655135e+00,2.99561813e-01
7.50000000e+03,1.00000000e+10,1.53563218e+00,3.35237800e+00,1.03204000e-01,1.81674582e+00,7.59460678e+00,2.73885823e+00,3.58652267e+00,3.35237800e+00,0.00000000e+00,0.00000000e+00,positive_Av,7.29043319e+00,7.88955681e+00,2.99561813e-01
7.50000000e+03,1.00000000e+11,1.36381997e+00,3.35237800e+00,1.03204000e-01,1.98855803e+00,8.74881148e+00,3.15510138e+00,4.13159123e+00,3.35237800e+00,-8.88178420e-16,-8.60604647e-15,positive_Av,8.44463789e+00,9.04376152e+00,2.99561813e-01
7.50000000e+03,1.00000000e+12,1.66719088e+00,3.35237800e+00,1.03204000e-01,1.68518712e+00,6.79501802e+00,2.45050094e+00,3.20892008e+00,3.35237800e+00,-8.88178420e-16,-8.60604647e-15,positive_Av,6.49084442e+00,7.08996805e+00,2.99561813e-01
7.50000000e+03,1.00000000e+13,2.03075292e+00,3.35237800e+00,1.03204000e-01,1.32162508e+00,4.87608849e+00,1.75847354e+00,2.30271329e+00,3.35237800e+00,-8.88178420e-16,-8.60604647e-15,positive_Av,4.57191490e+00,5.17103852e+00,2.99561813e-01
7.50000000e+03,1.00000000e+14,2.13395639e+00,3.35237800e+00,1.03204000e-01,1.21842161e+00,4.39388076e+00,1.58457401e+00,2.07499261e+00,3.35237800e+00,4.44089210e-16,4.30302323e-15,positive_Av,4.08970717e+00,4.68883079e+00,2.99561813e-01
1.00000000e+04,1.00000000e+02,1.80483438e+00,3.35237800e+00,1.03204000e-01,1.54754362e+00,6.02333998e+00,2.17220914e+00,2.84449821e+00,3.35237800e+00,-4.44089210e-16,-4.30302323e-15,positive_Av,5.71916638e+00,6.31829001e+00,2.99561813e-01
1.00000000e+04,1.00000000e+03,1.80304387e+00,3.35237800e+00,1.03204000e-01,1.54933413e+00,6.03299516e+00,2.17569111e+00,2.84905783e+00,3.35237800e+00,4.44089210e-16,4.30302323e-15,positive_Av,5.72882157e+00,6.32794520e+00,2.99561813e-01
1.00000000e+04,1.00000000e+04,1.79946285e+00,3.35237800e+00,1.03204000e-01,1.55291515e+00,6.05233433e+00,2.18266543e+00,2.85819068e+00,3.35237800e+00,4.44089210e-16,4.30302323e-15,positive_Av,5.74816074e+00,6.34728436e+00,2.99561813e-01
1.00000000e+04,1.00000000e+05,1.79230081e+00,3.35237800e+00,1.03204000e-01,1.56007719e+00,6.09112840e+00,2.19665582e+00,2.87651102e+00,3.35237800e+00,-4.44089210e-16,-4.30302323e-15,positive_Av,5.78695480e+00,6.38607843e+00,2.99561813e-01
1.00000000e+04,1.00000000e+06,1.78206278e+00,3.35237800e+00,1.03204000e-01,1.57031522e+00,6.14685394e+00,2.21675223e+00,2.90282719e+00,3.35237800e+00,8.88178420e-16,8.60604647e-15,positive_Av,5.84268035e+00,6.44180397e+00,2.99561813e-01
1.00000000e+04,1.00000000e+07,1.75849732e+00,3.35237800e+00,1.03204000e-01,1.59388068e+00,6.27634687e+00,2.26345153e+00,2.96397971e+00,3.35237800e+00,-4.44089210e-16,-4.30302323e-15,positive_Av,5.97217328e+00,6.57129691e+00,2.99561813e-01
1.00000000e+04,1.00000000e+08,1.69104991e+00,3.35237800e+00,1.03204000e-01,1.66132809e+00,6.65679384e+00,2.40065288e+00,3.14364427e+00,3.35237800e+00,0.00000000e+00,0.00000000e+00,positive_Av,6.35262025e+00,6.95174388e+00,2.99561813e-01
1.00000000e+04,1.00000000e+09,1.64347826e+00,3.35237800e+00,1.03204000e-01,1.70889974e+00,6.93436796e+00,2.50075499e+00,3.27472753e+00,3.35237800e+00,4.44089210e-16,4.30302323e-15,positive_Av,6.63019436e+00,7.22931799e+00,2.99561813e-01
1.00000000e+04,1.00000000e+10,1.57056856e+00,3.35237800e+00,1.03204000e-01,1.78180944e+00,7.37577907e+00,2.65994196e+00,3.48318216e+00,3.35237800e+00,0.00000000e+00,0.00000000e+00,positive_Av,7.07160548e+00,7.67072910e+00,2.99561813e-01
1.00000000e+04,1.00000000e+11,1.42114943e+00,3.35237800e+00,1.03204000e-01,1.93122857e+00,8.34826362e+00,3.01065100e+00,3.94243410e+00,3.35237800e+00,8.88178420e-16,8.60604647e-15,positive_Av,8.04409002e+00,8.64321365e+00,2.99561813e-01
1.00000000e+04,1.00000000e+12,1.67198642e+00,3.35237800e+00,1.03204000e-01,1.68039158e+00,6.76707754e+00,2.44042471e+00,3.19572530e+00,3.35237800e+00,-8.88178420e-16,-8.60604647e-15,positive_Av,6.46290394e+00,7.06202757e+00,2.99561813e-01
1.00000000e+04,1.00000000e+13,1.94123163e+00,3.35237800e+00,1.03204000e-01,1.41114637e+00,5.31464740e+00,1.91663192e+00,2.50982097e+00,3.35237800e+00,8.88178420e-16,8.60604647e-15,positive_Av,5.01047380e+00,5.60959743e+00,2.99561813e-01
1.00000000e+04,1.00000000e+14,2.01292705e+00,3.35237800e+00,1.03204000e-01,1.33945095e+00,4.96185391e+00,1.78940330e+00,2.34321566e+00,3.35237800e+00,-4.44089210e-16,-4.30302323e-15,positive_Av,4.65768032e+00,5.25680394e+00,2.99561813e-01
1.25000000e+04,1.00000000e+02,1.79008877e+00,3.35237800e+00,1.03204000e-01,1.56228923e+00,6.10314147e+00,2.20098812e+00,2.88218415e+00,3.35237800e+00,8.88178420e-16,8.60604647e-15,positive_Av,5.79896788e+00,6.39809150e+00,2.99561813e-01
1.25000000e+04,1.00000000e+03,1.78876404e+00,3.35237800e+00,1.03204000e-01,1.56361396e+00,6.11034290e+00,2.20358518e+00,2.88558500e+00,3.35237800e+00,0.00000000e+00,0.00000000e+00,positive_Av,5.80616931e+00,6.40529294e+00,2.99561813e-01
1.25000000e+04,1.00000000e+04,1.78539326e+00,3.35237800e+00,1.03204000e-01,1.56698474e+00,6.12869110e+00,2.21020213e+00,2.89424986e+00,3.35237800e+00,-4.44089210e-16,-4.30302323e-15,positive_Av,5.82451751e+00,6.42364113e+00,2.99561813e-01
1.25000000e+04,1.00000000e+05,1.78005173e+00,3.35237800e+00,1.03204000e-01,1.57232627e+00,6.15783771e+00,2.22071333e+00,2.90801423e+00,3.35237800e+00,4.44089210e-16,4.30302323e-15,positive_Av,5.85366412e+00,6.45278775e+00,2.99561813e-01
1.25000000e+04,1.00000000e+06,1.77126761e+00,3.35237800e+00,1.03204000e-01,1.58111039e+00,6.20595987e+00,2.23806772e+00,2.93073972e+00,3.35237800e+00,-4.44089210e-16,-4.30302323e-15,positive_Av,5.90178628e+00,6.50090990e+00,2.99561813e-01
1.25000000e+04,1.00000000e+07,1.75383228e+00,3.35237800e+00,1.03204000e-01,1.59854572e+00,6.30218706e+00,2.27277032e+00,2.97618263e+00,3.35237800e+00,-8.88178420e-16,-8.60604647e-15,positive_Av,5.99801346e+00,6.59713709e+00,2.99561813e-01
1.25000000e+04,1.00000000e+08,1.69506335e+00,3.35237800e+00,1.03204000e-01,1.65731465e+00,6.63373432e+00,2.39233688e+00,3.13275450e+00,3.35237800e+00,-1.33226763e-15,-1.29090697e-14,positive_Av,6.32956073e+00,6.92868435e+00,2.99561813e-01
1.25000000e+04,1.00000000e+09,1.65699155e+00,3.35237800e+00,1.03204000e-01,1.69538645e+00,6.85471108e+00,2.47202817e+00,3.23710989e+00,3.35237800e+00,0.00000000e+00,0.00000000e+00,positive_Av,6.55053749e+00,7.14966111e+00,2.99561813e-01
1.25000000e+04,1.00000000e+10,1.59786477e+00,3.35237800e+00,1.03204000e-01,1.75451323e+00,7.20816745e+00,2.59949584e+00,3.40402825e+00,3.35237800e+00,4.44089210e-16,4.30302323e-15,positive_Av,6.90399386e+00,7.50311749e+00,2.99561813e-01
1.25000000e+04,1.00000000e+11,1.46675359e+00,3.35237800e+00,1.03204000e-01,1.88562441e+00,8.04101241e+00,2.89984639e+00,3.79733594e+00,3.35237800e+00,-8.88178420e-16,-8.60604647e-15,positive_Av,7.73683881e+00,8.33596244e+00,2.99561813e-01
1.25000000e+04,1.00000000e+12,1.67632114e+00,3.35237800e+00,1.03204000e-01,1.67605686e+00,6.74189081e+00,2.43134157e+00,3.18383097e+00,3.35237800e+00,-4.44089210e-16,-4.30302323e-15,positive_Av,6.43771722e+00,7.03684085e+00,2.99561813e-01
1.25000000e+04,1.00000000e+13,1.88836105e+00,3.35237800e+00,1.03204000e-01,1.46401695e+00,5.58325902e+00,2.01350187e+00,2.63667174e+00,3.35237800e+00,0.00000000e+00,0.00000000e+00,positive_Av,5.27908543e+00,5.87820906e+00,2.99561813e-01
1.25000000e+04,1.00000000e+14,1.94183865e+00,3.35237800e+00,1.03204000e-01,1.41053935e+00,5.31160610e+00,1.91553513e+00,2.50838473e+00,3.35237800e+00,4.44089210e-16,4.30302323e-15,positive_Av,5.00743250e+00,5.60655613e+00,2.99561813e-01
1.50000000e+04,1.00000000e+02,1.77829099e+00,3.35237800e+00,1.03204000e-01,1.57408701e+00,6.16746450e+00,2.22418506e+00,2.91256044e+00,3.35237800e+00,4.44089210e-16,4.30302323e-15,positive_Av,5.86329091e+00,6.46241453e+00,2.99561813e-01
1.50000000e+04,1.00000000e+03,1.77693248e+00,3.35237800e+00,1.03204000e-01,1.57544552e+00,6.17489866e+00,2.22686605e+00,2.91607119e+00,3.35237800e+00,-4.44089210e-16,-4.30302323e-15,positive_Av,5.87072507e+00,6.46984869e+00,2.99561813e-01
1.50000000e+04,1.00000000e+04,1.77469765e+00,3.35237800e+00,1.03204000e-01,1.57768035e+00,6.18714068e+00,2.23128092e+00,2.92185244e+00,3.35237800e+00,4.44089210e-16,4.30302323e-15,positive_Av,5.88296709e+00,6.48209071e+00,2.99561813e-01
1.50000000e+04,1.00000000e+05,1.77070583e+00,3.35237800e+00,1.03204000e-01,1.58167217e+00,6.20904554e+00,2.23918051e+00,2.93219692e+00,3.35237800e+00,-1.33226763e-15,-1.29090697e-14,positive_Av,5.90487195e+00,6.50399558e+00,2.99561813e-01
1.50000000e+04,1.00000000e+06,1.76390403e+00,3.35237800e+00,1.03204000e-01,1.58847397e+00,6.24648405e+00,2.25268204e+00,2.94987711e+00,3.35237800e+00,-8.88178420e-16,-8.60604647e-15,positive_Av,5.94231046e+00,6.54143408e+00,2.99561813e-01
1.50000000e+04,1.00000000e+07,1.74928308e+00,3.35237800e+00,1.03204000e-01,1.60309492e+00,6.32745190e+00,2.28188163e+00,2.98811385e+00,3.35237800e+00,-4.44089210e-16,-4.30302323e-15,positive_Av,6.02327830e+00,6.62240193e+00,2.99561813e-01
1.50000000e+04,1.00000000e+08,1.69590643e+00,3.35237800e+00,1.03204000e-01,1.65647157e+00,6.62889724e+00,2.39059247e+00,3.13047020e+00,3.35237800e+00,4.44089210e-16,4.30302323e-15,positive_Av,6.32472364e+00,6.92384727e+00,2.99561813e-01
1.50000000e+04,1.00000000e+09,1.66750188e+00,3.35237800e+00,1.03204000e-01,1.68487612e+00,6.79320358e+00,2.44984659e+00,3.20806322e+00,3.35237800e+00,4.44089210e-16,4.30302323e-15,positive_Av,6.48902999e+00,7.08815362e+00,2.99561813e-01
1.50000000e+04,1.00000000e+10,1.61889834e+00,3.35237800e+00,1.03204000e-01,1.73347966e+00,7.08095318e+00,2.55361831e+00,3.34395182e+00,3.35237800e+00,-8.88178420e-16,-8.60604647e-15,positive_Av,6.77677959e+00,7.37590321e+00,2.99561813e-01
1.50000000e+04,1.00000000e+11,1.50387597e+00,3.35237800e+00,1.03204000e-01,1.84850203e+00,7.79787845e+00,2.81216450e+00,3.68251691e+00,3.35237800e+00,4.44089210e-16,4.30302323e-15,positive_Av,7.49370486e+00,8.09282849e+00,2.99561813e-01
1.50000000e+04,1.00000000e+12,1.68134172e+00,3.35237800e+00,1.03204000e-01,1.67103628e+00,6.71280020e+00,2.42085056e+00,3.17009304e+00,3.35237800e+00,-8.88178420e-16,-8.60604647e-15,positive_Av,6.40862661e+00,7.00775023e+00,2.99561813e-01
1.50000000e+04,1.00000000e+13,1.85280528e+00,3.35237800e+00,1.03204000e-01,1.49957272e+00,5.76816533e+00,2.08018500e+00,2.72399301e+00,3.35237800e+00,4.44089210e-16,4.30302323e-15,positive_Av,5.46399174e+00,6.06311536e+00,2.99561813e-01
1.50000000e+04,1.00000000e+14,1.89483997e+00,3.35237800e+00,1.03204000e-01,1.45753803e+00,5.54994095e+00,2.00148631e+00,2.62093742e+00,3.35237800e+00,0.00000000e+00,0.00000000e+00,positive_Av,5.24576736e+00,5.84489099e+00,2.99561813e-01
2.00000000e+04,1.00000000e+02,1.76265238e+00,3.35237800e+00,1.03204000e-01,1.58972562e+00,6.25338913e+00,2.25517223e+00,2.95313800e+00,3.35237800e+00,1.33226763e-15,1.29090697e-14,positive_Av,5.94921553e+00,6.54833916e+00,2.99561813e-01
2.00000000e+04,1.00000000e+03,1.76154414e+00,3.35237800e+00,1.03204000e-01,1.59083386e+00,6.25950711e+00,2.25737857e+00,2.95602720e+00,3.35237800e+00,-4.44089210e-16,-4.30302323e-15,positive_Av,5.95533352e+00,6.55445715e+00,2.99561813e-01
2.00000000e+04,1.00000000e+04,1.75979305e+00,3.35237800e+00,1.03204000e-01,1.59258495e+00,6.26918180e+00,2.26086757e+00,2.96059603e+00,3.35237800e+00,4.44089210e-16,4.30302323e-15,positive_Av,5.96500821e+00,6.56413184e+00,2.99561813e-01
2.00000000e+04,1.00000000e+05,1.75679674e+00,3.35237800e+00,1.03204000e-01,1.59558126e+00,6.28575859e+00,2.26684569e+00,2.96842435e+00,3.35237800e+00,0.00000000e+00,0.00000000e+00,positive_Av,5.98158500e+00,6.58070863e+00,2.99561813e-01
2.00000000e+04,1.00000000e+06,1.75268817e+00,3.35237800e+00,1.03204000e-01,1.59968983e+00,6.30853491e+00,2.27505956e+00,2.97918038e+00,3.35237800e+00,0.00000000e+00,0.00000000e+00,positive_Av,6.00436131e+00,6.60348494e+00,2.99561813e-01
2.00000000e+04,1.00000000e+07,1.74270310e+00,3.35237800e+00,1.03204000e-01,1.60967490e+00,6.36411151e+00,2.29510226e+00,3.00542621e+00,3.35237800e+00,4.44089210e-16,4.30302323e-15,positive_Av,6.05993792e+00,6.65906155e+00,2.99561813e-01
2.00000000e+04,1.00000000e+08,1.69783518e+00,3.35237800e+00,1.03204000e-01,1.65454282e+00,6.61784035e+00,2.38660500e+00,3.12524863e+00,3.35237800e+00,-1.77635684e-15,-1.72120929e-14,positive_Av,6.31366675e+00,6.91279038e+00,2.99561813e-01
2.00000000e+04,1.00000000e+09,1.68353330e+00,3.35237800e+00,1.03204000e-01,1.66884470e+00,6.70012882e+00,2.41628086e+00,3.16410903e+00,3.35237800e+00,-8.88178420e-16,-8.60604647e-15,positive_Av,6.39595523e+00,6.99507885e+00,2.99561813e-01
2.00000000e+04,1.00000000e+10,1.65275995e+00,3.35237800e+00,1.03204000e-01,1.69961805e+00,6.87958504e+00,2.48099851e+00,3.24885652e+00,3.35237800e+00,0.00000000e+00,0.00000000e+00,positive_Av,6.57541145e+00,7.17453507e+00,2.99561813e-01
2.00000000e+04,1.00000000e+11,1.56312094e+00,3.35237800e+00,1.03204000e-01,1.78925706e+00,7.42201695e+00,2.67661682e+00,3.50501782e+00,3.35237800e+00,-4.44089210e-16,-4.30302323e-15,positive_Av,7.11784336e+00,7.71696698e+00,2.99561813e-01
2.00000000e+04,1.00000000e+12,1.69033284e+00,3.35237800e+00,1.03204000e-01,1.66204516e+00,6.66091961e+00,2.40214076e+00,3.14559264e+00,3.35237800e+00,-1.33226763e-15,-1.29090697e-14,positive_Av,6.35674602e+00,6.95586964e+00,2.99561813e-01
2.00000000e+04,1.00000000e+13,1.81065476e+00,3.35237800e+00,1.03204000e-01,1.54172324e+00,5.99202009e+00,2.16091419e+00,2.82970752e+00,3.35237800e+00,0.00000000e+00,0.00000000e+00,positive_Av,5.68784650e+00,6.28697013e+00,2.99561813e-01
2.00000000e+04,1.00000000e+14,1.83823529e+00,3.35237800e+00,1.03204000e-01,1.51414271e+00,5.84496303e+00,2.10788071e+00,2.76026041e+00,3.35237800e+00,4.44089210e-16,4.30302323e-15,positive_Av,5.54078944e+00,6.13991307e+00,2.99561813e-01
3.00000000e+04,1.00000000e+02,1.74400462e+00,3.35237800e+00,1.03204000e-01,1.60837338e+00,6.35684928e+00,2.29248327e+00,3.00199664e+00,3.35237800e+00,-8.88178420e-16,-8.60604647e-15,positive_Av,6.05267568e+00,6.65179931e+00,2.99561813e-01
3.00000000e+04,1.00000000e+03,1.74342676e+00,3.35237800e+00,1.03204000e-01,1.60895124e+00,6.36007301e+00,2.29364585e+00,3.00351904e+00,3.35237800e+00,0.00000000e+00,0.00000000e+00,positive_Av,6.05589941e+00,6.65502304e+00,2.99561813e-01
3.00000000e+04,1.00000000e+04,1.74248555e+00,3.35237800e+00,1.03204000e-01,1.60989245e+00,6.36532596e+00,2.29554023e+00,3.00599973e+00,3.35237800e+00,0.00000000e+00,0.00000000e+00,positive_Av,6.06115237e+00,6.66027600e+00,2.99561813e-01
3.00000000e+04,1.00000000e+05,1.74089069e+00,3.35237800e+00,1.03204000e-01,1.61148731e+00,6.37423351e+00,2.29875258e+00,3.01020628e+00,3.35237800e+00,-4.44089210e-16,-4.30302323e-15,positive_Av,6.07005992e+00,6.66918354e+00,2.99561813e-01
3.00000000e+04,1.00000000e+06,1.73920603e+00,3.35237800e+00,1.03204000e-01,1.61317197e+00,6.38365147e+00,2.30214900e+00,3.01465387e+00,3.35237800e+00,0.00000000e+00,0.00000000e+00,positive_Av,6.07947788e+00,6.67860150e+00,2.99561813e-01
3.00000000e+04,1.00000000e+07,1.73502036e+00,3.35237800e+00,1.03204000e-01,1.61735764e+00,6.40709065e+00,2.31060191e+00,3.02572293e+00,3.35237800e+00,8.88178420e-16,8.60604647e-15,positive_Av,6.10291706e+00,6.70204068e+00,2.99561813e-01
3.00000000e+04,1.00000000e+08,1.69839909e+00,3.35237800e+00,1.03204000e-01,1.65397891e+00,6.61461006e+00,2.38544005e+00,3.12372314e+00,3.35237800e+00,0.00000000e+00,0.00000000e+00,positive_Av,6.31043646e+00,6.90956009e+00,2.99561813e-01
3.00000000e+04,1.00000000e+09,1.70157938e+00,3.35237800e+00,1.03204000e-01,1.65079862e+00,6.59641189e+00,2.37887721e+00,3.11512913e+00,3.35237800e+00,-4.44089210e-16,-4.30302323e-15,positive_Av,6.29223829e+00,6.89136192e+00,2.99561813e-01
3.00000000e+04,1.00000000e+10,1.69737191e+00,3.35237800e+00,1.03204000e-01,1.65500609e+00,6.62049497e+00,2.38756234e+00,3.12650227e+00,3.35237800e+00,-8.88178420e-16,-8.60604647e-15,positive_Av,6.31632138e+00,6.91544500e+00,2.99561813e-01
3.00000000e+04,1.00000000e+11,1.64420550e+00,3.35237800e+00,1.03204000e-01,1.70817250e+00,6.93006447e+00,2.49920301e+00,3.27269523e+00,3.35237800e+00,4.44089210e-16,4.30302323e-15,positive_Av,6.62589088e+00,7.22501451e+00,2.99561813e-01
3.00000000e+04,1.00000000e+12,1.70989686e+00,3.35237800e+00,1.03204000e-01,1.64248114e+00,6.54897832e+00,2.36177115e+00,3.09272882e+00,3.35237800e+00,0.00000000e+00,0.00000000e+00,positive_Av,6.24480473e+00,6.84392836e+00,2.99561813e-01
3.00000000e+04,1.00000000e+13,1.77036878e+00,3.35237800e+00,1.03204000e-01,1.58200922e+00,6.21089736e+00,2.23984834e+00,2.93307143e+00,3.35237800e+00,0.00000000e+00,0.00000000e+00,positive_Av,5.90672376e+00,6.50584739e+00,2.99561813e-01
3.00000000e+04,1.00000000e+14,1.78342589e+00,3.35237800e+00,1.03204000e-01,1.56895211e+00,6.13941611e+00,2.21406991e+00,2.89931470e+00,3.35237800e+00,-4.44089210e-16,-4.30302323e-15,positive_Av,5.83524251e+00,6.43436614e+00,2.99561813e-01
