element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
C,1,"=""""","=""""","=""1290.335""","=""0.003""","=""""","=""2.5e+05""",D,"=""80801.28887""","=""88549.095""","=""2s2.2p.4p""","=""3D""","=""2""","=""2s2.2p.(2P*<1/2>).8s""","=""2[1/2]*""","=""1""",,"=""T5520LS""","=""""",
S,1,"=""""","=""""","=""1290.4067""","=""0.0013""","=""""","=""5.63e+05""",D,"=""70166.1526""","=""77913.528""","=""3s2.3p3.(4S*).3d""","=""3D*""","=""2""","=""3s2.3p3.(4S*).6p""","=""3P""","=""1""",,"=""T8595,T7952""","=""""",
C,1,"=""""","=""""","=""1290.437""","=""0.020""","=""""","=""2.4e+02""",D,"=""81344.05485""","=""89091.25""","=""2s2.2p.4p""","=""3P""","=""2""","=""2s2.2p.(2P*<1/2>).8d""","=""2[3/2]*""","=""1""",,"=""T5520LS""","=""""",
Na,1,"=""""","=""""","=""1290.794""","=""0.003""","=""""","=""2.97e+05""",B+,"=""30266.99""","=""38012.042""","=""2p6.4p""","=""2P*""","=""1/2""","=""2p6.7s""","=""2S""","=""1/2""",,"=""c30""","=""""",
C,1,"=""""","=""""","=""1291.01""","=""0.03""","=""""","=""9.e+04""",D,"=""80801.28887""","=""88545.02""","=""2s2.2p.4p""","=""3D""","=""2""","=""2s2.2p.(2P*<1/2>).7d""","=""2[5/2]*""","=""3""",,"=""T5520LS""","=""""",
Ne,1,"=""1291.20141""","=""0.00014""","=""1291.20141""","=""0.00024""","=""8400""","=""1.32e+06""",C+,"=""150858.5079""","=""158601.1152""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""",,"=""T6976""","=""L9097""",
C,1,"=""""","=""""","=""1291.3""","=""0.3""","=""""","=""1.5e+04""",D,"=""80801.28887""","=""88543.5""","=""2s2.2p.4p""","=""3D""","=""2""","=""2s2.2p.(2P*<1/2>).7d""","=""2[3/2]*""","=""2""",,"=""T5520LS""","=""""",
Fe,1,"=""1291.32089""","=""0.00017""","=""""","=""""","=""123""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11631""",
Fe,2,"=""1291.63181""","=""0.00006""","=""1291.62718""","=""0.00012""","=""90""","=""2.0e+04""",D,"=""83459.721""","=""91199.776""","=""3d6.(5D).4d""","=""e 6F""","=""3/2""","=""3d6.(5D).5p""","=""4D*""","=""1/2""",,"=""T6892c83""","=""L18349c145""",
Fe,1,"=""1291.63182""","=""0.00017""","=""""","=""""","=""630""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11631""",
Na,1,"=""""","=""""","=""1291.726""","=""0.003""","=""""","=""5.92e+05""",B+,"=""30272.58""","=""38012.042""","=""2p6.4p""","=""2P*""","=""3/2""","=""2p6.7s""","=""2S""","=""1/2""",,"=""c30""","=""""",
S,1,"=""""","=""""","=""1292.0418""","=""0.0018""","=""""","=""8.36e+05""",E,"=""70164.610""","=""77902.181""","=""3s2.3p3.(4S*).3d""","=""3D*""","=""1""","=""3s2.3p3.(4S*).6p""","=""3P""","=""0""",,"=""T8595,T7952""","=""""",
Ni,2,"=""""","=""""","=""1292.414""","=""""","=""""","=""3.7e-05""",E,"=""24788.20""","=""32523.54""","=""3p6.3d8.(3P).4s""","=""4P""","=""3/2""","=""3p6.3d8.(1G).4s""","=""2G""","=""7/2""",E2,"=""T4240""","=""""",
Fe,2,"=""1292.5772""","=""0.0005""","=""1292.5772""","=""0.0004""","=""1""","=""""",,"=""96239.416""","=""103973.782""","=""3d5.(4G).4s.4p.(3P*)""","=""2H*""","=""9/2""","=""3d6.(3H).4d""","=""4K""","=""11/2""",,"=""""","=""L18349c139""",
He,1,"=""""","=""""","=""1292.789294""","=""0.000007""","=""""","=""1.423e+00""",AA,"=""[186209.3623329]""","=""[193942.45968763]""","=""1s.3p""","=""1P*""","=""1""","=""1s.5p""","=""1P*""","=""1""",E2,"=""T7378""","=""""",
Fe,1,"=""1293.3005""","=""0.0005""","=""1293.30061""","=""0.00024""","=""110""","=""""",,"=""40491.284""","=""48221.324""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""0""","=""3d7.(4F).5s""","=""e 5F""","=""1""",,"=""""","=""L11631""",
Si,3,"=""""","=""""","=""1293.302""","=""""","=""""","=""5.95e+06""",C+,"=""234415.07""","=""242145.10""","=""3s.6p""","=""3P*""","=""0""","=""3s.7s""","=""3S""","=""1""",,"=""T6298c4,LS""","=""""",
Ar,1,"=""1293.3195""","=""""","=""1293.3196""","=""""","=""50""","=""1.0e+07""",D,"=""107131.7086""","=""114861.635""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""",,"=""T1618n""","=""L2634""",
Fe,1,"=""1293.4667""","=""0.0005""","=""1293.46660""","=""0.00024""","=""204""","=""""",,"=""43499.505""","=""51228.553""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""4""","=""3d6.(5D).4s (6D).4d""","=""e 7G""","=""5""",,"=""""","=""L11631""",
Fe,2,"=""1293.4956""","=""0.0008""","=""1293.49372""","=""0.00010""","=""0.4""","=""""",,"=""105211.079""","=""112939.965""","=""3d6.(5D).5d""","=""4G""","=""9/2""","=""3d6.(5D<4>).5f""","=""2[5]*""","=""9/2""",,"=""""","=""L18349c139""",
Cs,2,"=""1293.7934""","=""0.0007""","=""1293.7935""","=""0.0009""","=""600""","=""""",,"=""172914.6297""","=""180641.725""","=""5p5.(2P*<3/2>).8d""","=""2[7/2]*""","=""4""","=""5p5.(2P*<3/2>).9f""","=""2[9/2]""","=""5""",,"=""""","=""L12126""",
Fe,2,"=""1293.96154""","=""0.00016""","=""1293.96115""","=""0.00012""","=""2.4""","=""""",,"=""107283.770""","=""115009.864""","=""3d6.(5D).6p""","=""6D*""","=""1/2""","=""3d6.(5D).6d""","=""6P""","=""3/2""",,"=""""","=""L18349c139""",
S,1,"=""""","=""""","=""1293.9923""","=""0.0010""","=""""","=""1.19e+04""",E',"=""70164.610""","=""77890.518""","=""3s2.3p3.(4S*).3d""","=""3D*""","=""1""","=""3s2.3p3.(4S*).6p""","=""3P""","=""2""",,"=""T8595,T7952""","=""""",
S,1,"=""""","=""""","=""1294.2507""","=""0.0009""","=""""","=""1.56e+05""",E,"=""70166.1526""","=""77890.518""","=""3s2.3p3.(4S*).3d""","=""3D*""","=""2""","=""3s2.3p3.(4S*).6p""","=""3P""","=""2""",,"=""T8595,T7952""","=""""",
Fe,2,"=""1294.2663""","=""""","=""1294.26629""","=""0.00010""","="":""","=""2.13e-03""",B,"=""667.6829""","=""8391.9554""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d6.(5D).4s""","=""a 4D""","=""5/2""",M1,"=""T9588c101""","=""L22760""",
Fe,2,"=""1294.4529""","=""0.0002""","=""1294.45256""","=""0.00017""","=""1.1""","=""""",,"=""103921.637""","=""111644.798""","=""3d6.(3H).4d""","=""4G""","=""7/2""","=""3d5.(2H).4s.4p.(3P*)""","=""4I*""","=""9/2""",,"=""""","=""L18349c139""",
Fe,1,"=""1294.6540""","=""0.0005""","=""1294.65321""","=""0.00024""","=""19""","=""""",,"=""26224.969""","=""33946.933""","=""3d7.(2D2).4s""","=""a 3D""","=""3""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""2""",,"=""""","=""L11631""",
C,1,"=""1294.987""","=""0.006""","=""1294.9826""","=""0.0008""","=""2100""","=""1.10e+05""",B,"=""77679.83311""","=""85399.833""","=""2s2.2p.3d""","=""1D*""","=""2""","=""2s2.2p.5p""","=""1D""","=""2""",,"=""T5520""","=""L9405c186""",
Si,3,"=""""","=""""","=""1295.536""","=""""","=""""","=""1.78e+07""",B,"=""234428.40""","=""242145.10""","=""3s.6p""","=""3P*""","=""1""","=""3s.7s""","=""3S""","=""1""",,"=""T6298c4,LS""","=""""",
S,1,"=""""","=""""","=""1295.5557""","=""0.0009""","=""""","=""6.50e+05""",D,"=""70173.9334""","=""77890.518""","=""3s2.3p3.(4S*).3d""","=""3D*""","=""3""","=""3s2.3p3.(4S*).6p""","=""3P""","=""2""",,"=""T8595,T7952""","=""""",
Ar,1,"=""1295.6659""","=""""","=""1295.6658""","=""""","=""500""","=""7.4e+06""",D,"=""104102.0990""","=""111818.028""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""1""",,"=""T1618n""","=""L2634""",
Cs,2,"=""1295.6746""","=""0.0008""","=""1295.6749""","=""0.0003""","=""280""","=""""",,"=""169185.5968""","=""176901.4718""","=""5p5.(2P*<3/2>).5g""","=""2[9/2]*""","=""5""","=""5p5.(2P*<3/2>).7f""","=""2[7/2]""","=""4""",,"=""""","=""L12126""",
Fe,1,"=""1295.84932""","=""0.00017""","=""""","=""""","=""251""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11631""",
Si,2,"=""""","=""""","=""1296.19""","=""""","=""""","=""9.44e+05""",C,"=""124449.5""","=""132162.29""","=""3s.3p.(3P*).3d""","=""4D*""","=""7/2""","=""3s.3p.(3P*).4p""","=""4D""","=""7/2""",,"=""T6527c4,LS""","=""""",
Fe,1,"=""1296.2225""","=""0.0005""","=""1296.2234""","=""0.0004""","=""16""","=""""",,"=""45833.223""","=""53545.833""","=""3d6.(3F2).4s.4p.(3P*)""","=""x 5G*""","=""4""","=""3d7.(4F).4d""","=""h 5D""","=""3""",,"=""""","=""L11631""",
Fe,2,"=""1296.34877""","=""0.00009""","=""1296.34929""","=""0.00012""","=""14""","=""8.9e+05""",C+,"=""84131.624""","=""91843.485""","=""3d6.(5D).4d""","=""6D""","=""1/2""","=""3d6.(5D).5p""","=""w 6P*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""1296.4422""","=""0.0005""","=""1296.4423""","=""0.0009""","=""14""","=""""",,"=""50185.743""","=""57897.051""","=""3d6.(5D).4s (6D).5p""","=""n 7P*""","=""4""","=""3d6.(5D).4s (6D).7s""","=""7D""","=""5""",,"=""""","=""L11631""",
O,2,"=""""","=""""","=""1296.502""","=""""","=""""","=""6.56e+06""",D,"=""248186.64""","=""255897.59""","=""2s2.2p2.(3P).4p""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).4d""","=""2D""","=""5/2""",,"=""T5723LS""","=""""",
C,1,"=""""","=""""","=""1296.60""","=""0.03""","=""""","=""1.1e+04""",D,"=""80834.62491""","=""88545.02""","=""2s2.2p.4p""","=""3D""","=""3""","=""2s2.2p.(2P*<1/2>).7d""","=""2[5/2]*""","=""3""",,"=""T5520LS""","=""""",
Cs,2,"=""1296.6721""","=""0.0002""","=""1296.67234""","=""0.00017""","=""160""","=""""",,"=""168565.0066""","=""176274.9463""","=""5p5.(2P*<3/2>).8p""","=""2[1/2]""","=""0""","=""5p5.(2P*<3/2>).10s""","=""2[3/2]*""","=""1""",,"=""""","=""L12126""",
He,1,"=""1296.845""","=""""","=""1296.843019""","=""0.000007""","=""10""","=""3.3615e+06""",AAA,"=""[186209.3623329]""","=""[193918.28729754]""","=""1s.3p""","=""1P*""","=""1""","=""1s.5d""","=""1D""","=""2""",,"=""T8636c73""","=""L885""",
C,1,"=""""","=""""","=""1296.9""","=""0.3""","=""""","=""4.2e+02""",D,"=""80834.62491""","=""88543.5""","=""2s2.2p.4p""","=""3D""","=""3""","=""2s2.2p.(2P*<1/2>).7d""","=""2[3/2]*""","=""2""",,"=""T5520LS""","=""""",
N,1,"=""""","=""""","=""1296.9581""","=""""","=""""","=""8.54e+05""",D+,"=""104144.820""","=""111853.061""","=""2s2.2p2.(3P).4s""","=""2P""","=""1/2""","=""2s2.2p2.(3P).5p""","=""2D*""","=""3/2""",,"=""u18,LS""","=""""",
He,1,"=""""","=""""","=""1297.034484""","=""0.000007""","=""""","=""3.303e+02""",AA,"=""[186209.3623329]""","=""[193917.14932512]""","=""1s.3p""","=""1P*""","=""1""","=""1s.5d""","=""3D""","=""2""",,"=""T8636c73""","=""""",
S,1,"=""""","=""""","=""1297.047""","=""0.017""","=""""","=""5.27e+05""",D,"=""73920.945""","=""81628.66""","=""3s2.3p3.(4S*).5p""","=""5P""","=""3""","=""3s2.3p3.(4S*).8d""","=""5D*""","=""4""",,"=""T8595,T7952""","=""""",
C,1,"=""1297.054""","=""0.006""","=""1297.05555""","=""0.00007""","=""28000bl""","=""1.5e+04""",C,"=""61981.83211""","=""69689.49393""","=""2s2.2p.3s""","=""1P*""","=""1""","=""2s2.2p.3p""","=""3D""","=""1""",,"=""T6070,u24""","=""L9405c186""",
Ar,2,"=""1297.45898""","=""0.00012""","=""1297.45918""","=""0.00010""","=""25""","=""""",,"=""191974.5800""","=""199679.8440""","=""3s2.3p4.(1S).4p""","=""2P*""","=""3/2""","=""3s2.3p4.(1D).4d""","=""2D""","=""5/2""",,"=""""","=""L11520""",
N,1,"=""""","=""""","=""1297.6156""","=""""","=""""","=""3.57e+04""",C,"=""104615.470""","=""112319.805""","=""2s2.2p2.(3P).3d""","=""2P""","=""3/2""","=""2s2.2p2.(1D).3p""","=""2P*""","=""3/2""",,"=""T5714""","=""""",
Fe,2,"=""1297.63399""","=""0.00008""","=""1297.63433""","=""0.00010""","=""6""","=""""",,"=""102802.353""","=""110506.577""","=""3d6.(5D).6s""","=""4D""","=""5/2""","=""3d6.(3P2).5p""","=""4D*""","=""5/2""",,"=""""","=""L18349c139""",
Fe,1,"=""1297.7356""","=""0.0013""","=""1297.73506""","=""0.00024""","=""8""","=""""",,"=""40257.314""","=""47960.940""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""5""","=""3d7.(4F).5s""","=""e 3F""","=""4""",,"=""""","=""L11631""",
Fe,2,"=""1297.7696""","=""""","=""1297.76963""","=""0.00012""","="":""","=""1.15e-03""",C+,"=""977.0498""","=""8680.4706""","=""3d6.(5D).4s""","=""a 6D""","=""1/2""","=""3d6.(5D).4s""","=""a 4D""","=""3/2""",M1,"=""T9588c104""","=""L22760""",
Si,3,"=""""","=""""","=""1297.854""","=""""","=""""","=""2.95e+07""",B,"=""234442.18""","=""242145.10""","=""3s.6p""","=""3P*""","=""2""","=""3s.7s""","=""3S""","=""1""",,"=""T6298c4,LS""","=""""",
Ne,1,"=""1298.00736""","=""0.00015""","=""1298.00741""","=""0.00024""","=""25""","=""""",,"=""162830.7073""","=""170532.7169""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""",,"=""""","=""L9097""",
S,4,"=""""","=""""","=""1298.13+""","=""""","=""""","=""1.70e+01""",D,"=""255395.8""","=""263097.1""","=""3s2.4d""","=""2D""","=""3/2""","=""3s.3p.(3P*).4s""","=""4P*""","=""1/2""",,"=""u29""","=""""",
Na,1,"=""""","=""""","=""1298.2936""","=""0.0005""","=""""","=""3.48e+03""",C',"=""33200.673""","=""[40900.985]""","=""2p6.5s""","=""2S""","=""1/2""","=""2p6.15p""","=""2P*""","=""3/2""",,"=""T817""","=""""",
Na,1,"=""""","=""""","=""1298.3042""","=""0.0005""","=""""","=""3.48e+03""",C',"=""33200.673""","=""[40900.922]""","=""2p6.5s""","=""2S""","=""1/2""","=""2p6.15p""","=""2P*""","=""1/2""",,"=""T817""","=""""",
He,1,"=""1298.489""","=""""","=""1298.485355""","=""0.000007""","=""2*""","=""2.7294e+05""",AAA,"=""[186101.59029341]""","=""[193800.7649571]""","=""1s.3d""","=""3D""","=""1""","=""1s.5p""","=""3P*""","=""0""",,"=""T8636c73""","=""L885""",
He,1,"=""1298.489""","=""""","=""1298.487252""","=""0.000007""","=""2*""","=""2.0466e+05""",AAA,"=""[186101.54609533]""","=""[193800.7095104]""","=""1s.3d""","=""3D""","=""2""","=""1s.5p""","=""3P*""","=""1""",,"=""T8636c73""","=""L885""",
He,1,"=""1298.489""","=""""","=""1298.487591""","=""0.000007""","=""2*""","=""2.2927e+05""",AAA,"=""[186101.54358476]""","=""[193800.7049900]""","=""1s.3d""","=""3D""","=""3""","=""1s.5p""","=""3P*""","=""2""",,"=""T8636c73""","=""L885""",
He,1,"=""1298.489""","=""""","=""1298.488015""","=""0.000007""","=""2*""","=""4.0931e+04""",AAA,"=""[186101.54609533]""","=""[193800.7049900]""","=""1s.3d""","=""3D""","=""2""","=""1s.5p""","=""3P*""","=""2""",,"=""T8636c73""","=""L885""",
He,1,"=""1298.489""","=""""","=""1298.494706""","=""0.000007""","=""2*""","=""6.8235e+04""",AAA,"=""[186101.59029341]""","=""[193800.7095104]""","=""1s.3d""","=""3D""","=""1""","=""1s.5p""","=""3P*""","=""1""",,"=""T8636c73""","=""L885""",
He,1,"=""1298.489""","=""""","=""1298.495469""","=""0.000007""","=""2*""","=""2.7294e+03""",AAA,"=""[186101.59029341]""","=""[193800.7049900]""","=""1s.3d""","=""3D""","=""1""","=""1s.5p""","=""3P*""","=""2""",,"=""T8636c73""","=""L885""",
Fe,2,"=""1298.5804""","=""0.0003""","=""1298.58144""","=""0.00017""","=""7""","=""""",,"=""57411.086""","=""65109.691""","=""3d5.4s2""","=""d 4P""","=""5/2""","=""3d6.(3F2).4p""","=""y 2G*""","=""7/2""",,"=""""","=""L18349c139""",
Fe,2,"=""""","=""""","=""1299.0263""","=""0.0004""","=""""","=""5.13e-03""",C,"=""25805.3270""","=""33501.2957""","=""3d6.(3G).4s""","=""a 4G""","=""9/2""","=""3d6.(1G2).4s""","=""c 2G""","=""7/2""",M1,"=""T8961""","=""""",
O,1,"=""1299.077""","=""""","=""1299.0742+""","=""""","=""120""","=""""",,"=""116631.094""","=""124326.779""","=""2s2.2p3.(2D*).3p""","=""1D""","=""2""","=""2s2.2p3.(2D*<3/2>).3d""","=""1F*""","=""3""",,"=""""","=""L3760""",
O,3,"=""""","=""""","=""1299.14""","=""""","=""""","=""1.80e+07""",C+,"=""394197.9""","=""401893.2""","=""2s.2p2.(2D).3s""","=""3D""","=""3""","=""2s2.2p.(2P*).5d""","=""3F*""","=""4""",,"=""T5376LS""","=""""",
Fe,2,"=""1299.5005""","=""0.0003""","=""1299.50020""","=""0.00019""","=""1.2""","=""""",,"=""104042.692""","=""111735.854""","=""3d6.(3H).4d""","=""4G""","=""5/2""","=""3d6.(3H).5p""","=""4H*""","=""7/2""",,"=""""","=""L18349c139""",
Fe,1,"=""1299.5667""","=""0.0005""","=""1299.56676""","=""0.00024""","=""7""","=""""",,"=""43499.505""","=""51192.273""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""4""","=""3d6.(5D).4s (6D).4d""","=""e 7F""","=""4""",,"=""""","=""L11631""",
C,1,"=""""","=""""","=""1299.791""","=""0.003""","=""""","=""3.6e+04""",D,"=""79310.86822""","=""87002.31""","=""2s2.2p.3d""","=""3P*""","=""2""","=""2s2.2p.6p""","=""3D""","=""3""",,"=""T5520LS""","=""""",
